Time,Engine speed,Throttle position,Accelerator pedal position,Speed,Trip fuel consumption
271.7,1510.482353,8.918385225,16.80951287,19.21488971,154228.3309
272.5,1598.216176,10.63336541,21.2712905,20.21911765,154805.6949
273.3,1720.277941,12.65018239,22.53163057,21.76470588,155589.1662
274.1,1864.436765,13.69065229,23.60850615,23.63529412,156590.4779
275,2008.383824,14.37097886,25.22285013,25.47095588,157649.2107
275.7,1632.494118,14.79082893,25.65020393,27.41801471,158701.8154
276.5,1505.655882,13.38199391,22.61769014,29.22058824,159725.9667
277.3,1568.830882,9.520227769,14.88130457,30.57647059,160583.7119
278.1,1596.975,8.066944795,12.20620548,31.17996324,161251.6529
278.9,1607.979412,7.055484547,10.63225241,31.375,161735.2213
279.7,1609.533824,7.110595703,10.69321576,31.40395221,162165.1906
280.5,1609.995588,7.314165901,11.01523007,31.44099265,162612.1369
281.3,1612.017647,7.436774759,11.39637667,31.5,163096.2208
282.1,1615.689706,7.500861673,11.5814209,31.5,163612.1594
282.9,1621.166176,7.591445025,11.5814209,31.63713235,164127.5232
283.7,1626.305882,7.558665556,11.57926672,31.73759191,164638.3768
284.5,1628.826471,7.05243279,10.24870031,31.75,165150.8476
285.3,1628.817647,6.987232881,9.982874253,31.75,165664.7858
286.1,1627.105882,6.979334214,9.982299805,31.75,166142.1125
286.9,1624.535294,6.973051183,9.982299805,31.71176471,166593.6294
287.6,1622.241176,6.981129366,10.07166245,31.63915441,167058.2305
288.4,1621.023529,7.171666762,10.42943618,31.61259191,167553.3217
289.2,1620.445588,7.160608628,10.44006348,31.625,168022.7208
290,1620.717647,7.134507123,10.44006348,31.625,168494.4035
290.8,1620.286765,7.13565602,10.44006348,31.625,168970.3969
291.6,1621.157353,7.131563074,10.43898639,31.625,169487.8531
292.4,1620.222059,6.925982307,9.823608398,31.625,169957.8366
293.2,1617.408824,6.904512293,9.744262695,31.55735294,170426.3153
294,1614.623529,6.729305492,9.351806641,31.5,170871.2656
294.8,1611.614706,6.647195255,9.077220244,31.47352941,171305.3667
295.6,1605.132353,6.620303883,9.075927734,31.35588235,171791.4686
296.4,1600.491176,6.618149701,9.075927734,31.25,172216.6581
297.2,1596.082353,6.615816004,9.075927734,31.21443015,172643.4439
298,1591.548529,6.608491785,9.075927734,31.10091912,173080.0279
298.8,1587.308824,6.610897289,9.075927734,31,173545.1954
299.6,1583.402941,6.616857192,9.067813649,30.90983456,174007.0787
300.4,1568.980882,5.618645163,1.865162569,30.80588235,174430.8961
301.2,1500.554412,5.81995347,0,29.44494485,174778.8134
302,1349.430882,4.9206902,0,26.4296875,174954.5057
302.8,1268.901471,4.844144933,0,24.72766544,175005.9375
303.6,1188.870588,4.813699161,0,23.21976103,175005.9375
304.4,1063.420588,3.83096134,0,21.69117647,175017.3022
305.2,851.6044118,3.076495002,0,20.25919118,175191.0614
305.9,859.3044118,2.625050264,0,18.72996324,175540.4906
306.7,735.1558824,2.165527344,0,16.55909926,175733.1061
307.5,681.3470588,2.058931239,0,12.72398897,175880.9761
308.3,664.5882353,2.056094899,0,9.490533088,176025.7756
309,637.9676471,2.176549575,0,6.951746324,176167.4018
309.8,632.2720588,2.688849954,0,4.891544118,176321.4531
310.6,632.3102941,2.602359547,0,2.615992647,176504.6401
311.4,630.8691176,2.612484203,0,0.375551471,176695.536
312.1,634.4029412,2.623326919,0,0,176885.9274
312.9,649.3308824,2.615428251,0,0,177076.4627
313.7,655.4676471,2.310647403,0,0,177261.9426
314.5,658.4647059,2.375919118,0,0,177435.0482
315.2,659.3338235,2.35926011,0,0,177611.7335
316,655.9823529,2.317074046,0,0,177782.6581
316.8,654.7102941,2.328132181,0,0,177947.9881
317.6,655.3176471,2.341488109,0,0,178122.6283
318.4,660.4191176,2.278801413,0,0,178296.2748
319.2,657.3647059,2.281027401,0,0,178462.5849
319.9,653.9235294,2.304543888,0,0,178616.6842
320.7,662.6205882,2.256469727,0,0,178781.4112
321.5,663.7338235,2.263399012,0,0,178957.7483
322.3,660.5897059,2.247027229,0,0,179124.9395
323.1,658.3426471,2.2703642,0,0,179287.8515
323.9,651.4808824,2.27995031,0,0,179452.7123
324.6,649.175,2.303969439,0,0,179614.5557
325.4,654.5441176,2.287274529,0,0,179778.7042
326.2,661.8102941,2.25923426,0,0,179941.2778
327,657.4029412,2.249935375,0,0,180110.6324
327.8,657.4558824,2.250150793,0,0,180268.1132
328.6,656.3823529,2.25485409,0,0,180439.6553
329.3,648.8544118,2.264978745,0,0,180603.4432
330.1,653.7617647,2.283791935,0,0,180764.5938
330.9,657.1573529,2.277078068,0,0,180915.6423
331.6,660.0897059,2.24088781,0,0,181087.7978
332.4,649.3985294,2.188110352,0,0,181240.9871
333.2,634.7808824,2.863733628,0,0.035294118,181404.1901
334,696.2411765,2.973022461,2.940745634,1.104411765,181610.5722
334.7,757.0529412,4.988654642,11.39659208,2.135110294,181856.7406
