Time,Speed,Accelerator pedal position,Throttle position,FC_avg_rate,Engine speed,Trip fuel consumption,slope
296,31.42920354,9.075927734,6.630416465,0.549778761,1608.158186,171537.0839,0
297,31.25884956,9.075927734,6.614131421,0.558248064,1601.820796,172087.7441,0
298,31.20996958,9.075927734,6.614995636,0.557020879,1596.143805,172635.4722,0
299,31.06927544,9.075927734,6.610377489,0.559146847,1590.294248,173195.052,0
300,30.96978706,9.075927734,6.613969381,0.557435702,1585.837389,173745.1009,0
301,30.84955752,4.596109306,6.029139156,0.517344787,1573.625,174321.2876,0
302,29.46342644,0.0,5.66603399,0.260975525,1501.63385,174752.8939,0
303,26.05731471,0.0,4.873171106,0.047333034,1332.879425,174973.152,0
304,24.05842091,0.0,4.845030118,0.0,1233.423673,175005.9375,0
305,22.16710454,0.0,4.225631309,0.086914063,1120.973451,175012.349,0
306,20.35204646,0.0,3.13402024,0.430949253,858.5331858,175183.2796,0
307,18.43667035,0.0,2.533391092,0.25116669,842.1681416,175577.77,0
308,14.98306139,0.0,2.095018235,0.189064228,695.2334071,175792.3226,0
309,10.49854812,0.0,2.054778243,0.186782702,676.119469,175985.0065,0
310,7.163647677,0.0,2.176470461,0.189600041,640.8285398,176152.9917,0
311,4.564643252,0.0,2.662051041,0.238877558,632.2278761,176356.1821,0
312,1.581512721,0.0,2.615869573,0.244875207,631.7068584,176571.0448,0
313,0.041344027,0.0,2.618111129,0.244382605,632.3727876,176824.0762,0
314,0.0,0.0,2.603824582,0.24621474,647.3893805,177054.3746,0
315,0.0,0.0,2.322927829,0.214065957,655.7090708,177288.1684,0
316,0.0,0.0,2.373835471,0.222250069,659.3462389,177499.7287,0
317,0.0,0.0,2.329328419,0.219311739,657.1415929,177716.9038,0
318,0.0,0.0,2.326681762,0.219190749,655.3882743,177925.483,0
319,0.0,0.0,2.344533194,0.21911297,655.8683628,178147.0904,0
320,0.0,0.0,2.259651117,0.208206582,660.3971239,178346.6409,0
321,0.0,0.0,2.300566277,0.205441095,652.5497788,178561.8518,0
322,0.0,0.0,2.267645102,0.212527655,662.800885,178753.2667,0
322,0.0,0.0,2.259192003,0.212925194,663.0044248,178974.6315,0
323,0.0,0.0,2.251927199,0.212847414,659.0862832,179167.2786,0
324,0.0,0.0,2.273046443,0.210479466,655.7776549,179394.9783,0
325,0.0,0.0,2.301538518,0.20550159,649.1504425,179579.3832,0
326,0.0,0.0,2.28684687,0.212769635,655.8573009,179795.2803,0
327,0.0,0.0,2.251738152,0.211870852,659.175885,179981.5325,0
328,0.0,0.0,2.250819924,0.212475802,658.7035398,180211.2483,0
329,0.0,0.0,2.2531425,0.20964982,655.9966814,180402.7092,0
330,0.0,0.0,2.263243009,0.203989215,649.9789823,180614.4462,0
331,0.0,0.0,2.286144695,0.207895465,653.8473451,180803.4765,0
332,0.0,0.0,2.253952702,0.212735066,660.3418142,181003.4184,0
333,0.0,0.0,2.196023317,0.200048396,652.6216814,181215.1515,0
334,0.096238938,0.0,2.852016213,0.256369262,639.0785398,181397.9643,0
335,1.397746128,5.078584114,3.238914287,0.297661435,696.4767699,181693.7344,0
336,2.894358407,15.06628526,6.850413095,0.546425608,923.1792035,181995.0035,0
337,5.895810288,18.87217834,8.820444293,0.819189021,1265.647124,182638.745,0
338,8.623893805,18.88427734,9.430660822,0.872925885,1472.494469,183423.8132,0
339,10.96792035,17.83741639,10.2951725,0.969035191,1721.021018,184322.8025,0
340,13.14746958,12.13027819,7.402349151,0.630539616,1349.63385,185221.7165,0
341,14.10266869,12.39048781,6.639409698,0.507950774,1314.356195,185796.9632,0
342,14.82591261,15.05756209,7.376476727,0.617213426,1310.492257,186367.0288,0
343,16.12244192,20.21114383,8.721356687,0.816345755,1274.889381,186962.8256,0
344,18.14221515,22.2442627,11.06062357,1.063044455,1430.358407,187889.7167,0
345,20.54134403,23.27834948,12.97051084,1.176092367,1624.731195,188904.7981,0
346,23.2060979,23.41222172,13.73904068,1.181225802,1831.993363,190106.9523,0
347,25.5096792,23.65917105,13.34414862,1.169541621,1806.776549,191278.8862,0
348,27.66330199,23.19327835,11.95600391,1.065421045,1423.358407,192413.4255,0
349,29.43521847,23.00720215,12.2386561,1.106505808,1516.271018,193469.5884,0
350,31.25815819,23.00720215,12.69377312,1.146812777,1608.59292,194561.0759,0
351,33.01292865,23.00720215,13.3118756,1.171607093,1698.511062,195661.6968,0
352,34.78353153,23.00720215,13.52641688,1.183680171,1787.341814,196898.9945,0
353,36.37486173,23.00720215,13.29194466,1.168902102,1865.818584,198031.6155,0
354,37.58490044,23.00720215,12.2028182,1.08287818,1541.772124,199217.0245,0
355,38.80060841,23.00720215,12.10097591,1.072498963,1481.240044,200289.8278,0
356,39.96121405,25.05390539,13.68786297,1.209978222,1527.340708,201325.6377,0
357,41.4579646,28.60709671,18.77120026,1.508693999,1587.262168,202650.3927,0
358,43.43162334,29.14912131,20.71954508,1.539727945,1661.336283,204028.2858,0
359,45.46045354,29.51660156,22.0948886,1.620203609,1739.381637,205753.803,0
