time_bucket,time,trs_mt_gr_st\CCP:1,fmsp_af_sp\CCP:1,sys_veh_spd\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,tq_imep_ref\CCP:1,sys_pps_pct\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_eng_spd\CCP:1,sys_trip_fc\CCP:1,sys_iat\CCP:1,knck_ron_fac\CCP:1,sys_ect\CCP:1,time_to_heat
81.0,81.00334788,2,14.06396484,32.375,35.6953125,25.29296875,309.8125,19.30236816,18.0625,14.15429688,0.131896973,9.930419922,0.818359375,1997.75,52695.53125,29.7890625,1,35.3671875,
82.0,82.01189656,2,14.06396484,32.25,35.7578125,25.41503906,311.5,19.30236816,18.5,14.15429688,0.132568359,9.954833984,0.827148438,2001.25,53753.5625,29.84375,1,36.0546875,
83.0,83.00295525,2,14.07714844,32.09375,35.71875,25.45166016,310.625,19.30236816,18.5,14.18701172,0.132476807,9.881591797,0.79296875,1984.75,54310.90625,29.8125,1,36.0546875,
84.0,84.00357392,2,14.07714844,32.0,35.8828125,25.46386719,309.75,19.30236816,18.1875,14.19335938,0.133178711,9.869384766,0.786132813,1961.875,55381.40625,29.859375,1,36.0546875,
85.0,85.0055426,2,14.07714844,31.875,36.046875,25.63476563,312.0,19.30236816,18.3125,14.14501953,0.13369751,9.872436523,0.79296875,1970.5,56424.95313,29.8359375,1,36.0546875,
86.0,86.00182122,2,14.09033203,31.75,36.2109375,25.84228516,313.8125,19.30236816,18.8125,14.20751953,0.134307861,9.826660156,0.810546875,1961.875,56977.42188,29.8359375,1,36.734375,
87.0,87.00081997,2,14.09033203,31.6640625,36.0234375,25.73242188,313.625,19.30236816,18.75,14.16845703,0.134185791,9.848022461,0.833984375,1960.875,57556.8125,29.84375,1,36.734375,
88.0,88.006809,2,14.09033203,31.703125,36.78125,26.14746094,318.125,19.99206543,19.4375,14.19970703,0.137054443,10.02502441,0.848632813,1968.125,58667.625,29.8828125,1,36.734375,
89.0,89.00597803,2,14.10351563,31.75,36.6875,26.29394531,318.0625,20.20263672,19.3125,14.18701172,0.13684082,9.954833984,0.798828125,1951.625,59244.51563,29.8828125,1,37.5625,
90.0,90.00403725,2,14.10351563,31.8359375,38.28125,27.68554688,340.0625,21.98181152,22.8125,14.12304688,0.144378662,10.47973633,0.883789063,1965.75,60453.73438,29.921875,1,37.5625,
91.0,91.00994715,2,14.10351563,31.875,38.171875,27.64892578,339.3125,21.85058594,22.5,14.05126953,0.144226074,10.33325195,0.903320313,1975.875,61054.64063,29.90625,1,37.5625,
92.0,92.01312707,2,14.11669922,32.0,37.15625,26.70898438,326.6875,21.45080566,20.9375,14.12939453,0.139282227,10.28747559,0.865234375,1969.0,62228.39063,29.8984375,1,37.5625,
93.0,93.00998685,2,14.13037109,32.125,37.31640625,26.80664063,330.8125,21.45080566,21.375,14.18701172,0.139831543,10.3302002,0.880859375,1998.75,62822.98438,29.8515625,1,38.3125,
94.0,94.01128609,2,14.14355469,32.1875,36.60546875,26.06201172,318.5,19.89746094,19.375,14.13867188,0.135955811,10.00976563,0.803710938,1984.5,63972.95313,29.84375,1,38.3125,
95.0,95.00362533,2,14.14355469,32.0234375,34.53515625,24.57275391,299.5,16.44592285,16.375,14.20410156,0.128173828,9.164428711,0.732421875,1974.75,64527.42188,29.8828125,1,38.3125,
96.0,96.00305474,2,14.15673828,30.7734375,26.97265625,18.60351563,214.625,0.0,-6.5,14.15087891,0.097351074,6.671142578,0.4609375,1888.0,65010.79688,29.8515625,1,39.046875,
97.0,97.00469594,2,14.15673828,28.5703125,24.0234375,17.05322266,195.875,0.0,-8.5625,14.17919922,0.088928223,5.749511719,0.361328125,1740.25,65624.92188,29.8125,1,39.046875,
98.0,98.0018539,2,14.17041016,26.1875,24.43359375,17.67578125,197.5625,0.0,-7.9375,14.09814453,0.092224121,5.520629883,0.357421875,1569.0,66112.0,29.7734375,1,39.046875,
99.0,99.00448819,2,14.18359375,22.8828125,26.6640625,19.03076172,211.375,0.0,-8.5,14.13378906,0.09954834,5.130004883,0.340820313,1406.875,66358.32813,29.8828125,1,39.8828125,
100.0,100.0067269,2,14.18359375,20.0859375,28.19921875,20.14160156,211.25,0.0,-9.3125,14.10253906,0.105072021,4.949951172,0.3359375,1243.625,66584.1875,29.875,1,39.8828125,
101.0,101.0129756,2,14.19726563,16.53125,29.2421875,20.22705078,227.3125,0.0,-9.4375,14.08251953,0.105529785,3.829956055,0.2890625,1022.5,67023.5,29.9296875,1,39.8828125,
102.0,102.0000243,2,14.02392578,12.7890625,35.3359375,22.88818359,241.75,0.0,2.4375,13.95117188,0.119384766,3.857421875,0.267578125,785.25,67218.51563,29.9296875,1,39.8828125,
103.0,103.0026031,2,13.80419922,11.125,42.28125,29.18701172,312.9375,0.0,18.0625,13.62939453,0.15222168,4.1015625,0.307617188,709.125,67589.53125,29.9921875,1,40.84375,
104.0,104.009022,2,13.79150391,9.703125,44.6953125,31.29882813,337.4375,0.0,17.0625,13.64794922,0.163238525,4.086303711,0.318359375,698.75,67799.53125,30.0546875,1,40.84375,
105.0,105.0098109,1,13.77832031,7.4296875,48.34375,36.07177734,395.0,0.0,22.6875,13.49804688,0.188140869,4.629516602,0.359375,691.375,68241.57813,30.0546875,1,40.84375,
106.0,106.0102632,1,13.76611328,3.3984375,50.80078125,38.78173828,427.375,0.0,28.1875,13.49804688,0.202270508,4.748535156,0.361328125,681.5,68480.07813,30.0625,1,41.6875,
107.0,107.0038054,0,13.74072266,0.2890625,51.51171875,39.73388672,439.25,0.0,30.25,13.42138672,0.206298828,4.412841797,0.36328125,667.125,68999.03125,30.0390625,1,41.6875,
108.0,108.0091177,0,13.76611328,0.0,54.38671875,43.11523438,479.3125,0.0,28.8125,13.56835938,0.224853516,5.541992188,0.4296875,716.0,69279.3125,30.046875,1,41.6875,
109.0,109.0051264,0,13.80419922,0.0,53.34375,42.16308594,467.875,0.0,26.0,13.71826172,0.217773438,5.56640625,0.427734375,734.75,69901.04688,30.03125,1,41.6875,
110.0,110.000365,0,13.82958984,0.0,53.36328125,41.87011719,463.5,0.0,29.3125,13.79785156,0.218383789,5.480957031,0.423828125,719.25,70216.10938,29.984375,1,42.5,
111.0,111.0003037,0,13.84228516,0.0,52.5546875,41.015625,454.3125,0.0,26.0,13.72460938,0.213897705,5.285644531,0.413085938,729.25,70534.42188,29.8984375,1,42.5,
112.0,112.0006622,0,13.85498047,0.0,52.515625,41.18652344,457.0,0.0,25.25,13.71191406,0.214813232,5.358886719,0.418945313,733.875,71122.125,29.859375,1,42.5,
113.0,113.0011108,0,13.86816406,0.0,52.890625,41.58935547,461.0,0.0,29.0,13.64794922,0.21685791,5.404663086,0.412109375,711.375,71396.64063,29.84375,1,43.265625,
114.0,114.0016393,0,13.88085938,0.0,52.796875,41.30859375,458.5,0.0,30.0,13.75732422,0.216156006,5.239868164,0.404296875,710.75,71984.84375,29.78125,1,43.265625,
115.0,115.0041328,0,13.88085938,0.0,52.9609375,41.57714844,461.25,0.0,29.5,13.73242188,0.216827393,5.285644531,0.412109375,717.0,72274.9375,29.8046875,1,43.265625,
116.0,116.0022092,0,13.90673828,0.0,52.16796875,41.16210938,456.8125,0.0,30.3125,13.70898438,0.214691162,5.349731445,0.403320313,725.0,72821.23438,29.7421875,1,43.265625,
117.0,117.0069785,0,13.93261719,0.0,51.94921875,40.71044922,449.8125,0.0,28.4375,13.69628906,0.212036133,5.233764648,0.396484375,713.5,73109.8125,29.734375,1,44.0703125,
118.0,118.0075872,0,13.94580078,0.0,51.88671875,40.69824219,449.875,0.0,27.3125,13.66064453,0.212219238,5.184936523,0.401367188,710.375,73376.1875,29.7109375,1,44.0703125,
119.0,119.0106867,0,13.97167969,0.0,51.93359375,40.50292969,448.0625,0.0,28.9375,13.74804688,0.211242676,5.130004883,0.384765625,708.25,73931.6875,29.6953125,1,44.0703125,
120.0,120.0048161,0,13.98486328,0.0,51.3203125,39.96582031,441.1875,0.0,28.1875,13.68554688,0.209594727,5.078125,0.387695313,716.125,74178.78125,29.671875,1,44.8671875,
121.0,121.0032159,0,13.98486328,0.0,51.84375,40.58837891,448.8125,0.0,28.8125,13.66210938,0.211700439,5.102539063,0.400390625,714.375,74724.82813,29.65625,1,44.8671875,
122.0,122.0058857,0,13.98486328,0.0,52.12109375,40.86914063,451.875,0.0,28.875,13.65576172,0.213104248,5.117797852,0.393554688,712.875,74994.96875,29.6484375,1,44.8671875,
123.0,123.0070156,0,14.01123047,0.0,57.08984375,46.37451172,514.4375,0.0,30.8125,13.88867188,0.241821289,6.665039063,0.517578125,805.875,75531.54688,29.6015625,1,44.8671875,
124.0,124.0137774,0,14.05029297,0.0,53.453125,42.45605469,470.625,0.0,28.25,13.99169922,0.221435547,6.140136719,0.455078125,789.125,75865.1875,29.6171875,1,45.609375,
125.0,125.0056097,0,14.06396484,0.0,53.2890625,42.13867188,467.875,0.0,26.75,14.01513672,0.219726563,6.234741211,0.4765625,814.5,76475.67188,29.6015625,1,45.609375,
126.0,126.0086221,0,14.07714844,0.0,52.375,41.32080078,457.0,0.0,26.375,14.03076172,0.215484619,5.966186523,0.462890625,805.5,76791.92188,29.6015625,1,45.609375,
127.0,127.0132531,0,14.07714844,0.0,51.41015625,40.51513672,448.1875,0.0,25.0625,13.97753906,0.211273193,5.517578125,0.447265625,786.125,77415.32813,29.546875,1,46.2734375,
128.0,128.0092641,0,14.13037109,0.0,43.72265625,33.55712891,374.125,6.484985352,30.0,14.10400391,0.175018311,7.144165039,0.5078125,1230.375,77772.0,29.5234375,1,46.2734375,
