time,sys_iat\CCP:1,knck_ron_fac\CCP:1,hw_bat_vlt\CCP:1,sys_ect\CCP:1,Trip_fuel_consumption,afm_stk_flw\CCP:1,fmsp_af_sp\CCP:1,sys_eng_spd\CCP:1,tq_imep_ref\CCP:1,tq_clch_torq\CCP:1,sys_pps_pct\CCP:1,sys_tps_pct\CCP:1,Vehicle_Speed,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_fc_avg_rate\CCP:1,Current_gear_shift_position_(Current_gear)
86.0105528,27.296875,1,14.11523438,36.6171875,56143.40625,0.120910645,14.02392578,1493.5,359.9375,15.1875,7.791137695,7.861328125,32.875,39.18359375,25.69580078,0.578125,3
87.0111838,27.328125,1,14.12158203,36.921875,56893.46875,0.121612549,14.03710938,1496.75,362.9375,15.6875,7.791137695,7.974243164,32.875,39.23046875,25.83007813,0.596679688,3
88.0117148,27.328125,1,14.12158203,36.921875,56893.46875,0.121887207,14.05029297,1495.625,363.1875,15.75,7.791137695,8.013916016,32.875,39.4296875,25.90332031,0.625,3
89.0124648,27.3125,1,14.12744141,37.25,57800.51563,0.122161865,14.05029297,1499.625,364.0625,16.25,7.797241211,7.974243164,32.875,39.421875,26.01318359,0.622070313,3
90.0009088,27.359375,1,14.11523438,37.5625,58638.96875,0.122772217,14.06396484,1499.875,364,16.25,7.797241211,8.056640625,33,39.49609375,26.06201172,0.606445313,3
91.0065308,27.359375,1,14.11523438,37.5625,58638.96875,0.122558594,14.07714844,1503.5,366.375,16.625,7.797241211,8.020019531,33,39.42578125,26.15966797,0.595703125,3
92.0011408,27.359375,1,14.10888672,38.0078125,59858.8125,0.122711182,14.09033203,1506.75,365.875,16.625,7.797241211,8.108520508,33.125,39.4453125,26.12304688,0.610351563,3
93.0079978,27.359375,1,14.10888672,38.0078125,59858.8125,0.12298584,14.09033203,1510.875,367.5,16.75,7.797241211,8.096313477,33.25,39.52734375,26.09863281,0.6171875,3
94.0008808,27.359375,1,14.10888672,38.359375,60871.92188,0.122833252,14.10351563,1514,365.75,16.8125,7.772827148,8.142089844,33.25,39.4609375,26.12304688,0.612304688,3
95.0106838,27.375,1,14.11962891,38.6328125,61637.84375,0.122589111,14.10351563,1520.25,367.1875,17.125,7.727050781,8.181762695,33.375,39.4296875,26.171875,0.620117188,3
96.0009218,27.375,1,14.11962891,38.6328125,61637.84375,0.122741699,14.11669922,1527.125,365.8125,17,5.10559082,8.071899414,33.5,39.46875,26.09863281,0.618164063,3
97.0166348,27.3671875,1,14.12158203,39.0546875,62795.76563,0.108917236,14.06396484,1521.25,326.3125,12.4375,4.147338867,7.275390625,33.5,35.8515625,23.13232422,0.55859375,3
98.0054298,27.328125,1,14.12744141,39.3671875,63619.5,0.108459473,14.07714844,1512.875,322.3125,12.125,4.147338867,7.275390625,33.25,35.765625,23.08349609,0.548828125,3
99.0017938,27.328125,1,14.12744141,39.3671875,63619.5,0.109161377,14.09033203,1502.875,325.5,12.5625,4.147338867,7.308959961,33,35.9375,23.22998047,0.541015625,3
100.0022878,27.375,1,14.12158203,39.6171875,64278.4375,0.110443115,14.10351563,1494.875,328.25,12.9375,4.147338867,7.247924805,32.875,36.23046875,23.48632813,0.525390625,3
101.0029388,27.3671875,1,14.12451172,39.8359375,64818.3125,0.11126709,14.10351563,1486,331.5,13.6875,4.147338867,7.275390625,32.625,36.51171875,23.68164063,0.520507813,3
102.0052318,27.3671875,1,14.12451172,39.8359375,64818.3125,0.112121582,14.11669922,1484.5,331.9375,-7.25,0,7.88269043,32.125,37.140625,23.64501953,0.545898438,3
103.0160548,27.4296875,1,14.09814453,40.4765625,66511.09375,0.127319336,14.18359375,1393.5,373.375,-6.375,0,7.998657227,30.375,42.7734375,27.09960938,0.60546875,3
104.0149148,27.4296875,1,14.09814453,40.4765625,66511.09375,0.112426758,14.14355469,1318.375,325.4375,-6.9375,0,6.146240234,28.875,38.30078125,24.01123047,0.466796875,3
105.0093888,27.4453125,1,14.08398438,40.703125,67122.125,0.095458984,14.09033203,1225.125,269.25,-9.8125,0,5.068969727,26.875,33.2109375,20.20263672,0.348632813,3
106.0010418,27.4453125,1,14.08398438,40.703125,67122.125,0.091247559,14.09033203,1054,246.75,-12.0625,0,4.351806641,24,32.4921875,19.36035156,0.2890625,3
107.0084858,27.359375,1,14.11181641,41.25,68034.98438,0.09967041,14.11669922,919.375,269.3125,-13.75,0,4.1015625,20.5,38.9140625,21.17919922,0.29296875,3
