time_bucket,time,time_to_heat,sys_ect\CCP:1,sys_veh_spd\CCP:1,fmsp_af_sp\CCP:1,sys_bst_t\CCP:1,hw_bat_vlt\CCP:1,sys_map\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,afm_stk_flw_pct\CCP:1,sys_bst_p\CCP:1,tq_clch_torq\CCP:1,sys_pps_pct\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_eng_spd\CCP:1,sys_trip_fc\CCP:1,knck_ron_fac\CCP:1,sys_iat\CCP:1
127.0,127.0095288,,41.8203125,0.0,14.27880859,24.4609375,13.66210938,34.82421875,0.114746094,281.9375,23.48632813,87.59765625,4.6875,0.0,2.227783203,0.205078125,654.5,80602.21875,1,24.453125
128.0,128.0101511,,41.890625,0.0,14.29248047,24.453125,13.72119141,33.89453125,0.110931396,272.5,22.70507813,87.53125,3.3125,0.0,2.227783203,0.203125,665.125,80743.57813,1,24.453125
129.0,129.0043734,,41.9609375,0.0,14.29248047,24.4609375,13.73535156,33.890625,0.109924316,270.875,22.49755859,87.62890625,2.5625,0.0,2.1484375,0.208984375,665.75,81003.34375,1,24.4609375
130.0,130.0073854,,42.046875,0.0,14.29248047,24.46875,13.71533203,33.7734375,0.110076904,267.3125,22.27783203,87.66015625,2.875,0.0,2.21862793,0.200195313,663.25,81273.39063,1,24.4609375
131.0,131.0092871,,42.109375,0.0,14.29248047,24.4609375,13.89013672,34.12109375,0.110809326,272.75,22.68066406,87.58984375,2.375,0.0,2.127075195,0.2109375,666.625,81400.10938,1,24.4609375
132.0,132.0066588,,42.1796875,0.0,14.30615234,24.5,13.72314453,33.9453125,0.108825684,267.5625,22.27783203,87.6484375,2.1875,0.0,2.1484375,0.208007813,663.625,81668.0625,1,24.46875
133.0,133.0136004,,42.234375,0.0,14.30615234,24.4765625,13.69482422,34.04296875,0.111907959,274.5625,22.91259766,87.63671875,2.75,0.0,2.136230469,0.204101563,663.25,81798.10938,1,24.46875
134.0,134.0139614,,42.3046875,0.0,14.30615234,24.4921875,13.70410156,34.2265625,0.111633301,275.0625,22.8515625,87.61328125,1.9375,0.0,2.221679688,0.213867188,663.5,82058.71875,1,24.46875
135.0,135.0004123,,42.3515625,0.0,14.30615234,24.5078125,13.86816406,34.25,0.111602783,274.875,22.8515625,87.63671875,1.75,0.0,2.24609375,0.220703125,665.125,82194.59375,1,24.484375
136.0,136.0018933,,42.4375,0.0,14.30615234,24.484375,13.83691406,34.25390625,0.110870361,272.4375,22.69287109,87.5859375,2.0625,0.0,2.182006836,0.206054688,659.125,82477.90625,1,24.484375
137.0,137.0021641,,42.484375,0.0,14.30615234,24.5078125,13.77001953,34.3984375,0.110839844,272.4375,22.69287109,87.54296875,2.75,0.0,2.21862793,0.203125,655.875,82729.96875,1,24.484375
138.0,138.0101249,,42.5546875,0.0,14.30615234,24.484375,13.75439453,34.91015625,0.112884521,276.8125,23.10791016,87.55859375,1.3125,0.0,2.197265625,0.20703125,637.125,82875.20313,1,24.515625
139.0,139.0034058,,42.625,0.5,14.25146484,24.5234375,13.42626953,45.5859375,0.167694092,413.6875,34.33837891,87.51171875,14.8125,0.0,3.335571289,0.40625,653.375,83192.04688,1,24.515625
140.0,140.0024074,,42.6875,2.0,14.26513672,24.515625,13.51806641,41.6796875,0.151763916,372.6875,31.06689453,87.53125,13.5625,12.39318848,3.90625,0.32421875,685.75,83434.53125,1,24.515625
141.0,141.0179589,,42.7421875,4.75,14.34716797,24.5078125,13.48095703,58.0,0.237365723,617.0625,48.59619141,87.23828125,53.9375,19.76623535,9.478759766,1.025390625,1266.625,84097.4375,1,24.515625
