Speed,gear,Predicted_sum,Predicted
35.55313908,3.0,63716.19,1521.9729
37.65816761,3.0,65261.45,1545.256
39.66673705,3.0,66794.195,1532.7491
41.48423165,3.0,68309.375,1515.179
43.0727983,3.0,69838.74,1529.3646
44.65491273,3.0,71363.3,1524.5583
46.11049107,3.0,72836.95,1473.6575
47.55915179,3.0,74148.42,1311.4724
48.54715909,3.0,75257.55,1109.1233
49.01420455,3.0,76247.914,990.37067
49.21846847,3.0,77218.56,970.6483
49.4691723,3.0,78176.15,957.5877
49.54472477,3.0,79143.15,966.9965
49.70945946,3.0,80093.66,950.50665
49.55250563,3.0,81086.92,993.26874
49.59403409,3.0,82114.695,1027.7767
49.76891447,4.0,83105.08,990.38556
50.0137583,4.0,83975.555,870.4738
50.20540653,4.0,84548.664,573.10876
49.86068861,4.0,84841.64,292.9769
47.64662388,4.0,85073.9,232.26031
45.07087556,4.0,85317.55,243.64955
43.28021294,4.0,85570.35,252.80606
41.61683559,4.0,85810.19,239.83356
39.56577846,4.0,86043.97,233.78403
37.28683036,4.0,86304.836,260.86487
35.746024,4.0,86635.15,330.31113
34.9254386,4.0,87059.12,423.96533
34.62209624,4.0,87540.43,481.30896
34.37237279,4.0,88062.41,521.9802
34.27232143,4.0,88627.3,564.8877
34.29073661,4.0,89234.55,607.2538
34.53027344,4.0,89838.53,603.9877
34.75633446,4.0,90394.59,556.0655
34.67194602,4.0,90947.99,553.3983
34.5673396,4.0,91550.14,602.15137
34.55643136,4.0,92199.19,649.04517
34.51689189,4.0,92858.84,659.6552
34.5239906,4.0,93426.445,567.6052
34.50919524,4.0,93787.45,361.0104
33.97453962,4.0,93996.68,209.22415
31.60397727,5.0,94168.35,171.6704
27.24673295,5.0,94351.445,183.09293
24.09460227,4.0,94559.42,207.97293
21.27141462,4.0,94780.805,221.3836
18.2056336,3.0,95019.28,238.4738
14.45861486,3.0,95268.79,249.50531
11.14822443,3.0,95529.96,261.17557
8.962978604,2.0,95798.89,268.9314
6.37230365,2.0,96060.61,261.72018
2.212681362,1.0,96327.51,266.902
0.0,0.0,96597.086,269.57593
0.0,0.0,96853.83,256.73837
0.0,0.0,97095.266,241.43785
0.0,0.0,97324.91,229.63783
0.0,0.0,97545.71,220.80121
0.0,0.0,97759.445,213.73134
0.0,0.0,97966.64,207.1921
0.0,0.0,98166.56,199.92181
0.0,0.0,98356.7,190.13739
0.0,0.0,98529.97,173.26683
0.0,0.0,98666.766,136.79747
0.0,0.0,98784.83,118.0616
0.0,0.0,98963.63,178.80125
0.0,0.0,99211.305,247.67056
0.0,0.0,99453.42,242.11768
0.0,0.0,99683.31,229.88702
0.0,0.0,99905.12,221.80534
0.0,0.0,100126.7,221.58876
0.0,0.0,100375.65,248.94269
0.0,0.0,100840.04,464.3891
2.053857854,0.0,101749.33,909.2881
7.082065819,1.0,102771.766,1022.4397
11.19126674,1.0,103548.85,777.0846
12.91294643,1.0,104132.83,583.97876
13.99725507,1.0,104624.84,492.01596
14.65899123,1.0,105053.86,429.0146
14.98863636,2.0,105432.125,378.26694
14.58189174,2.0,105811.42,379.29962
14.5,2.0,106198.586,387.1636
14.5,2.0,106566.27,367.68396
14.5,2.0,106885.62,319.34586
14.10365513,2.0,107163.39,277.77353
11.95903533,2.0,107428.04,264.64526
8.71825732,2.0,107691.984,263.94513
5.921037946,1.0,107950.62,258.6317
1.5296875,0.0,108211.8,261.18127
0.0,0.0,108469.06,257.26627
0.0,0.0,108714.89,245.82439
0.0,0.0,108949.24,234.34874
0.0,0.0,109175.28,226.03668
0.0,0.0,109395.766,220.4844
0.0,0.0,109612.7,216.93678
0.0,0.0,109827.43,214.72592
0.0,0.0,110040.8,213.36542
0.0,0.0,110253.33,212.53009
0.0,0.0,110465.336,212.01126
0.0,0.0,110677.016,211.67825
0.0,0.0,110888.47,211.44945
0.0,0.0,111099.74,211.27034
0.0,0.0,111310.836,211.09499
0.0,0.0,111521.7,210.86563
0.0,0.0,111732.195,210.4924
0.0,0.0,111942.03,209.83559
0.0,0.0,112150.73,208.69255
0.0,0.0,112357.54,206.80954
0.0,0.0,112561.71,204.17299
0.0,0.0,112765.37,203.65657
0.0,0.0,113003.06,237.69588
1.132603237,0.0,113398.234,395.17465
4.135044643,1.0,113970.35,572.1134
6.545709978,1.0,114716.99,746.644
9.533309659,1.0,115606.39,889.39453
13.0453125,1.0,116504.25,897.8632
15.77143252,1.0,117401.1,896.8544
18.09225852,1.0,118385.34,984.246
20.67088068,1.0,119470.96,1085.6167
23.38727679,1.0,120588.484,1117.5266
25.75113636,1.0,121682.016,1093.5306
27.75573394,1.0,122700.83,1018.81274
29.46540179,1.0,123557.35,856.5229
30.61830357,2.0,124224.7,667.35315
30.94469027,2.0,124814.375,589.6702
31.16251408,3.0,125385.914,571.5356
31.35044643,3.0,125987.66,601.7392
31.64285714,3.0,126590.77,603.1175
31.84444754,3.0,127169.47,578.6968
31.859375,3.0,127738.7,569.2317
31.90604441,3.0,128300.22,561.5172
31.89204545,3.0,128855.51,555.292
31.86393805,3.0,129408.17,552.66046
31.82315341,3.0,129961.125,552.9495
31.78947732,3.0,130515.37,554.2439
31.76213728,3.0,131070.484,555.1158
31.74441964,3.0,131624.86,554.36926
31.7286036,3.0,132176.75,551.89825
31.68018018,3.0,132733.42,556.66656
31.6739161,3.0,133295.61,562.19037
31.61830357,3.0,133874.05,578.43445
31.56738281,3.0,134481.94,607.8881
31.51860795,3.0,135123.0,641.0666
31.5,3.0,135766.62,643.62616
31.46938345,3.0,136339.86,573.2402
31.40134943,3.0,136753.48,413.62988
30.6328125,3.0,137041.17,287.6806
28.01022727,3.0,137297.6,256.42816
25.50401182,4.0,137535.23,237.64223
22.62527902,4.0,137772.66,237.42253
19.47919034,4.0,138014.52,241.86168
16.20910755,3.0,138269.47,254.95808
13.08368525,3.0,138528.88,259.39886
9.744580518,2.0,138796.89,268.01825
6.601140203,1.0,139070.81,273.92322
4.00732854,1.0,139334.44,263.61926
0.088149889,0.0,139603.05,268.61023
0.0,0.0,139862.14,259.10037
0.0,0.0,140106.67,244.52623
0.0,0.0,140339.8,233.12955
0.0,0.0,140564.97,225.16617
0.0,0.0,140784.84,219.87006
0.0,0.0,141001.28,216.44193
0.0,0.0,141215.55,214.26057
0.0,0.0,141428.44,212.88896
0.0,0.0,141640.47,212.0342
0.0,0.0,141851.97,211.5044
0.0,0.0,142063.14,211.17549
0.0,0.0,142274.11,210.9676
0.0,0.0,142484.94,210.8281
0.0,0.0,142695.66,210.7152
0.0,0.0,142906.23,210.58363
0.0,0.0,143116.6,210.36647
0.0,0.0,143326.55,209.96054
0.0,0.0,143535.77,209.21844
0.0,0.0,143743.73,207.96526
0.0,0.0,143949.92,206.19307
0.0,0.0,144155.42,205.49754
0.0,0.0,144376.12,220.6992
0.0,0.0,144756.28,380.15018
3.390076754,1.0,145287.19,530.9128
6.212681362,1.0,145776.84,489.65015
7.754882813,1.0,146269.16,492.30542
9.093404314,1.0,146865.44,596.2852
10.98099662,1.0,147594.53,729.098
13.23903383,1.0,148417.7,823.1749
15.69206305,1.0,149268.2,850.50525
17.74923949,1.0,150147.16,878.95483
19.69925459,1.0,151078.05,930.89056
21.77741228,1.0,152027.84,949.796
23.76483658,2.0,152981.77,953.9187
25.50563063,2.0,153955.92,974.16223
27.14977477,2.0,154936.66,980.7405
28.53494318,2.0,155951.86,1015.2058
29.89864865,2.0,157048.78,1096.92
31.42358827,3.0,158287.47,1238.6866
33.30855856,3.0,159650.61,1363.1406
35.18082386,3.0,161088.86,1438.2439
37.03034319,3.0,162593.4,1504.5509
38.93068182,3.0,164135.22,1541.8143
40.8806108,3.0,165642.03,1506.8153
42.50760135,3.0,167111.27,1469.2378
43.86373874,3.0,168599.17,1487.9072
45.3490991,3.0,170045.98,1446.8192
46.75898783,3.0,171324.2,1278.2258
47.82833615,3.0,172353.23,1029.028
48.136649,3.0,173250.5,897.26764
48.2734375,3.0,174129.33,878.83374
48.39583333,3.0,175026.1,896.76666
48.48324887,3.0,175971.73,945.64545
48.64606585,3.0,176976.31,1004.57697
48.84713772,3.0,178034.62,1058.3177
49.046875,3.0,179137.58,1102.9594
49.23085586,3.0,180252.47,1114.8873
49.34974888,3.0,181311.03,1058.5624
49.54950284,3.0,182138.08,827.042
49.35281808,3.0,182657.77,519.6922
48.43729441,4.0,182986.75,328.97714
46.98983684,4.0,183234.84,248.10107
44.54265203,4.0,183457.94,223.09221
41.77062774,4.0,183686.98,229.04048
39.47780697,4.0,183947.39,260.3998
38.07142857,4.0,184237.23,289.83765
36.82769886,4.0,184546.02,308.77722
35.66259766,4.0,184887.62,341.60648
34.63546317,4.0,185321.67,434.05344
34.2953125,4.0,185874.05,552.3679
34.41477273,4.0,186466.73,592.69183
34.60728237,4.0,187022.08,555.3391
34.56215735,4.0,187559.58,537.49384
34.53484513,4.0,188106.75,547.17163
34.54344846,4.0,188674.39,567.64557
34.56173949,4.0,189274.61,600.2206
34.61103429,4.0,189908.58,633.9729
34.62002212,4.0,190567.78,659.20514
34.625,4.0,191201.94,634.1613
34.63913043,4.0,191704.64,502.70352
34.55113636,4.0,192005.45,300.8159
33.43017578,4.0,192216.69,211.23393
30.246024,4.0,192421.08,204.39125
26.11697443,4.0,192635.05,213.96095
21.85712275,4.0,192866.36,231.31598
19.23423295,3.0,193118.48,252.12875
16.87260143,3.0,193376.17,257.68628
14.49556588,3.0,193636.12,259.9464
11.79525619,2.0,193900.72,264.58887
8.242606027,2.0,194166.53,265.81522
4.917116477,1.0,194434.23,267.70416
1.760184152,0.0,194700.81,266.57578
0.0,0.0,194962.45,261.6447
0.0,0.0,195212.14,249.68352
0.0,0.0,195449.2,237.05493
0.0,0.0,195676.89,227.69183
0.0,0.0,195898.06,221.16647
0.0,0.0,196114.73,216.67496
0.0,0.0,196328.2,213.4746
0.0,0.0,196539.16,210.95287
0.0,0.0,196747.75,208.58635
0.0,0.0,196953.62,205.87332
0.0,0.0,197155.89,202.26585
0.0,0.0,197352.95,197.0605
0.0,0.0,197541.89,188.94434
0.0,0.0,197715.67,173.77716
0.0,0.0,197854.94,139.25932
0.0,0.0,197977.08,122.14361
0.0,0.0,198159.38,182.30092
0.0,0.0,198538.19,378.80554
0.0,0.0,199250.78,712.6002
2.999723451,0.0,200215.47,964.68164
6.527134487,1.0,201286.4,1070.9386
10.33942522,1.0,202251.33,964.92065
13.56728604,1.0,202903.42,652.0891
14.92961712,2.0,203326.4,422.98557
14.82331194,2.0,203727.33,400.92432
15.06919643,2.0,204129.8,402.4689
