time_bucket,time,time_to_heat,sys_ect\CCP:1,sys_iat\CCP:1,sys_bst_t\CCP:1,trs_mt_gr_st\CCP:1,sys_pps_pct\CCP:1,fmsp_af_sp\CCP:1,sys_veh_spd\CCP:1,knck_ron_fac\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_eng_spd\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_bst_p\CCP:1,sys_trip_fc\CCP:1
316.0,316.0050887,,30.9296875,22.3828125,22.8203125,0,0.0,13.46826172,0.0,1,46.13671875,32.6171875,639.75,-4.5625,13.88232422,0.159332275,416.5625,4.193115234,0.322265625,88.16015625,37186.32813
317.0,317.0023107,,31.0390625,22.3828125,22.8515625,0,0.0,13.48046875,0.0,1,46.00390625,32.38525391,638.875,-4.5625,13.98388672,0.158203125,414.25,4.260253906,0.321289063,87.93359375,37509.14063
318.0,318.0013328,,31.2109375,22.3828125,22.828125,0,0.0,13.48046875,0.0,1,46.08984375,32.37304688,669.75,-1.875,13.96972656,0.15814209,414.9375,4.26940918,0.33984375,87.90234375,37844.98438
319.0,319.0010341,,31.3359375,22.3828125,22.796875,0,5.676269531,13.48046875,2.109375,1,49.234375,36.73095703,868.75,14.375,13.98535156,0.179382324,469.6875,6.024169922,0.579101563,87.95703125,38122.96875
320.0,320.0026935,,31.4375,22.3828125,22.8125,1,11.92932129,13.49267578,5.375,1,57.45703125,45.27587891,1235.375,29.8125,14.02587891,0.221130371,594.3125,10.0769043,1.0390625,87.88671875,38940.875
321.0,321.0041928,,31.6015625,22.3828125,22.8046875,1,13.87634277,13.59082031,8.25,1,59.48046875,46.875,1540.25,32.1875,14.00878906,0.229248047,624.875,13.02490234,1.125,88.60546875,40121.95313
322.0,322.0066165,,31.6015625,22.3828125,22.8046875,1,15.01159668,13.79150391,11.3671875,1,57.546875,44.95849609,1875.625,28.875,14.03222656,0.219604492,601.5625,13.61083984,1.26171875,89.828125,41383.39063
323.0,323.0016817,,31.8359375,22.3828125,22.6640625,1,15.67687988,13.65283203,13.6171875,1,54.9296875,43.84765625,2149.375,12.125,13.97900391,0.214172363,590.0625,14.41955566,1.459960938,91.12109375,42817.48438
324.0,324.0161168,,31.8359375,22.3828125,22.6640625,1,18.56079102,13.77832031,16.625,1,75.21875,59.00878906,1768.875,55.6875,14.00244141,0.28817749,804.6875,16.82128906,1.822265625,93.1796875,44496.78125
325.0,325.0076833,,31.8359375,22.3828125,22.6640625,1,18.79272461,13.75341797,19.375,1,65.68359375,53.33251953,1951.375,44.6875,14.04150391,0.259124756,722.5625,15.40222168,1.616210938,95.609375,46111.375
326.0,326.0131751,,32.359375,22.3828125,22.40625,1,18.36242676,13.66503906,22.125,1,62.0,49.74365234,2119.5,38.8125,13.99462891,0.242950439,675.125,15.14282227,1.501953125,96.40234375,47711.10938
327.0,327.0067969,,32.359375,22.3828125,22.40625,1,17.53234863,13.69042969,24.875,1,60.73046875,48.65722656,2040.875,36.4375,14.03857422,0.237670898,656.75,14.39819336,1.54296875,96.0546875,49271.90625
328.0,328.0054504,,32.359375,22.3828125,22.40625,1,14.56604004,13.62792969,27.125,1,53.2578125,40.93017578,2205.25,23.375,14.04345703,0.199890137,556.875,13.36975098,1.25390625,94.72265625,50682.20313
329.0,329.009325,,32.359375,22.3828125,22.40625,1,15.16418457,13.64013672,28.0,1,52.83984375,40.8203125,2092.125,3.3125,14.07128906,0.201690674,550.25,13.36975098,1.470703125,93.59765625,52037.39063
330.0,330.0006395,,33.0078125,22.1796875,22.203125,2,18.34716797,13.77832031,29.5,1,66.3359375,52.12402344,1916.875,44.0625,14.07470703,0.254547119,708.1875,14.96582031,1.51953125,94.44921875,53766.54688
331.0,331.0079253,,33.0078125,22.1796875,22.203125,2,10.33630371,13.69042969,31.1171875,1,49.8046875,37.60986328,1651.125,16.3125,14.01367188,0.182525635,497.5625,10.11352539,0.668945313,92.74609375,54856.4375
332.0,332.0127547,,33.3125,22.1171875,22.15625,3,8.093261719,13.578125,31.5,1,43.1640625,32.21435547,1697.625,7.0625,14.05566406,0.157348633,422.375,9.451293945,0.80859375,89.55078125,55518.51563
333.0,333.0061438,,33.3125,22.1171875,22.15625,3,6.533813477,13.578125,31.625,1,42.3671875,31.4453125,1776.5,-5.375,14.01025391,0.155700684,413.6875,9.86328125,0.82421875,88.71875,56355.59375
334.0,334.0033828,,33.59375,22.109375,22.1640625,3,7.958984375,13.578125,31.5,1,45.9140625,35.26611328,1455.875,12.5,14.11523438,0.171325684,460.75,8.944702148,0.833007813,88.5625,57256.85938
335.0,335.0071036,,33.8359375,22.1015625,22.1328125,3,9.307861328,13.55371094,31.625,1,46.515625,36.20605469,1289.75,14.1875,13.98388672,0.175476074,468.0625,8.279418945,0.719726563,88.62890625,57993.34375
336.0,336.0130448,,33.984375,22.1015625,22.1484375,3,9.307861328,13.55371094,31.625,1,45.53515625,35.57128906,1288.375,13.1875,14.01220703,0.174438477,460.0,8.404541016,0.682617188,88.27734375,58656.6875
337.0,337.0005555,,34.1484375,22.1015625,22.171875,3,9.307861328,13.55371094,31.625,1,45.34765625,35.25390625,1291.625,12.625,14.05712891,0.172180176,454.8125,8.23059082,0.701171875,88.30859375,59325.25
338.0,338.0134691,,34.3125,22.1015625,22.1796875,3,9.307861328,13.56591797,31.625,1,45.25,35.07080078,1290.625,12.375,14.00732422,0.172241211,451.9375,8.245849609,0.672851563,88.3515625,59997.73438
339.0,339.0089006,,34.515625,22.1015625,22.234375,3,9.307861328,13.56591797,31.625,1,45.3046875,35.21728516,1280.125,12.875,14.02001953,0.172027588,453.4375,8.303833008,0.685546875,88.30859375,60632.5
340.0,340.0112322,,34.6484375,22.1015625,22.2421875,3,9.307861328,13.578125,31.625,1,45.484375,35.31494141,1284.25,13.125,14.01660156,0.172515869,455.1875,8.255004883,0.685546875,88.3203125,61328.48438
341.0,341.0099704,,34.8359375,22.1015625,22.265625,3,9.307861328,13.578125,31.625,1,45.421875,35.27832031,1282.25,13.1875,14.01025391,0.172302246,455.6875,8.218383789,0.67578125,88.27734375,61984.8125
342.0,342.0147666,,35.125,22.1015625,22.25,3,9.307861328,13.578125,31.625,1,45.515625,35.32714844,1280.625,13.3125,14.03857422,0.172546387,455.875,8.337402344,0.673828125,88.25,62652.26563
343.0,343.0005329,,35.2421875,22.1015625,22.25,3,9.307861328,13.59082031,31.625,1,45.3671875,35.19287109,1285.0,13.4375,14.01367188,0.171875,454.625,8.367919922,0.651367188,88.24609375,63383.04688
344.0,344.0019232,,35.5,22.1015625,22.28125,3,8.889770508,13.59082031,31.625,1,45.39453125,35.15625,1291.25,13.25,14.03857422,0.171691895,453.875,8.30078125,0.67578125,88.25,64049.51563
345.0,345.0019425,,35.6484375,22.1015625,22.265625,3,8.862304688,13.60302734,31.625,1,45.21484375,35.19287109,1289.0,13.125,14.04492188,0.171905518,454.4375,8.30078125,0.663085938,88.30078125,64743.875
346.0,346.0054617,,35.84375,22.1015625,22.296875,3,8.862304688,13.60302734,31.75,1,45.33984375,35.00976563,1287.5,13.0,14.04345703,0.171020508,451.9375,8.239746094,0.673828125,88.296875,65419.1875
347.0,347.0052453,,36.1328125,22.1015625,22.28125,3,8.511352539,13.60302734,31.625,1,45.08984375,34.79003906,1293.375,12.4375,14.03222656,0.169921875,448.875,8.279418945,0.66796875,88.17578125,66094.10938
348.0,348.0072441,,36.265625,22.1015625,22.28125,3,6.900024414,13.61523438,31.625,1,44.16015625,33.86230469,1280.375,11.0625,14.05419922,0.165405273,436.375,7.91015625,0.630859375,88.18359375,66741.96875
349.0,349.0075428,,36.515625,22.1015625,22.296875,3,6.811523438,13.61523438,31.625,1,43.9375,33.44726563,1293.0,11.0625,14.06347656,0.163391113,429.75,7.968139648,0.624023438,88.21484375,67364.9375
350.0,350.0014415,,36.6796875,22.1015625,22.3125,3,6.732177734,13.62792969,31.5,1,43.85546875,33.59375,1288.75,11.25,14.01660156,0.164093018,432.9375,8.013916016,0.643554688,88.22265625,68026.20313
351.0,351.0144524,,36.8203125,22.1015625,22.2890625,3,6.494140625,13.62792969,31.5,1,44.1328125,33.65478516,1276.75,11.6875,14.01513672,0.164367676,433.1875,7.968139648,0.62890625,88.3125,68683.70313
352.0,352.0002771,,37.046875,22.1015625,22.3515625,3,6.292724609,13.64013672,31.3828125,1,43.484375,33.22753906,1280.875,10.5625,14.05712891,0.162322998,427.9375,7.864379883,0.609375,88.28125,69103.34375
353.0,353.0113392,,37.25,22.1015625,22.296875,3,0.0,13.64013672,31.375,1,37.0703125,27.34375,1218.125,-9.6875,14.02441406,0.133544922,346.3125,5.868530273,0.390625,88.39453125,69726.0625
354.0,354.006273,,37.4296875,22.1015625,22.34375,3,0.0,13.64013672,30.375,1,32.9375,23.52294922,1181.125,-17.1875,13.94970703,0.114898682,295.25,5.068969727,0.353515625,88.16796875,70106.70313
355.0,355.0061571,,37.5703125,22.1015625,22.3203125,4,0.0,13.65283203,27.8828125,1,31.90625,21.63085938,1036.125,-21.5625,13.95263672,0.105651855,269.625,4.263305664,0.290039063,88.171875,70456.75
