Speed,Actual,Predicted,2,,,
48.54646018,115283.9194,91433.92,,,,
48.38398783,115925.7996,91927.09,,,,
48.28159569,116662.1998,92504.49,,,,
48.29639104,117406.4469,93142.57,,,,
48.37582965,118181.4295,93803.2,,,,
48.45326327,119002.8446,94444.34,,,,
48.4940542,119656.3819,95027.234,,,,
48.33268805,120354.3868,95522.914,,,,
47.76631637,120755.0835,95921.06,,,,
46.34015487,120880.2825,96241.29,,,,
44.58655973,120881.2031,96533.35,,,,
41.73237002,120881.2031,96859.42,,,,
38.94821626,120881.2031,97233.445,,,,
36.84935011,120881.2031,97604.88,,,,
35.28097345,120881.2031,97975.805,,,,
34.17685288,121244.9596,98369.516,,,,
33.75442478,121773.8182,98805.9,,,,
33.79756637,122519.5307,99290.13,,,,
33.95167312,123188.7027,99812.43,,,,
34.06768529,123887.8476,100357.71,,,,
34.31747788,124607.8468,100913.85,,,,
34.46591538,125247.9614,101475.586,,,,
34.64677821,125980.16,102045.66,,,,
34.77931416,126600.7174,102631.47,,,,
34.8924917,127311.5801,103240.09,,,,
34.98416759,127883.7165,103871.84,,,,
35.0282771,128532.0214,104513.6,,,,
35.02502765,129132.9683,105133.82,,,,
34.62126659,129646.2208,105686.664,,,,
31.66046737,129884.6806,106143.21,,,,
29.26673119,129964.7544,106519.81,,,,
27.07411504,130154.3675,106840.4,,,,
24.47801438,130405.1159,107112.31,,,,
21.67740597,130564.117,107368.45,,,,
18.65251659,130746.4994,107627.63,,,,
15.20443861,130900.1135,107894.086,,,,
11.09195243,131092.9939,108165.88,,,,
8.09056969,131242.8931,108439.05,,,,
5.387721239,131428.7665,108716.195,,,,
1.881014934,131630.0159,109008.23,,,,
0.082204093,131872.021,109327.29,,,,
0,132096.2767,109678.4,,,,
0,132330.486,110052.66,,,,
0,132534.9363,110434.94,,,,
0,132749.2373,110817.28,,,,
0,132943.4285,111197.77,,,,
0,133146.3534,111577.12,,,,
0,133353.7204,111956.914,,,,
0,133552.6141,112338.99,,,,
0,133750.6735,112724.82,,,,
0,133960.4209,113113.695,,,,
0,134144.661,113503.83,,,,
0,134368.2369,113890.94,,,,
0,134564.5214,114265,,,,
0,134775.6983,114615.67,,,,
0,134967.207,114931.68,,,,
